Date,Open,High,Low,Close,Adj Close,Volume,7. dividend amount,8. split coefficient,Ticker
2021-12-23,468.75,472.19,468.64,470.6,447.636191718034,56439745,0.0000,1.0,SPY
2021-12-27,472.06,477.31,472.01,477.26,453.971204546003,56808619,0.0000,1.0,SPY
2021-12-28,477.72,478.81,476.06,476.87,453.600235326347,47274585,0.0000,1.0,SPY
2021-12-29,476.98,478.56,475.92,477.48,454.180469234014,54502964,0.0000,1.0,SPY
2021-12-30,477.93,479.0,475.67,476.16,452.924881105948,55329041,0.0000,1.0,SPY
2021-12-31,475.64,476.86,474.67,474.96,451.783437353161,63617437,0.0000,1.0,SPY
2022-01-03,476.3,477.85,473.85,477.71,454.399245953298,72668233,0.0000,1.0,SPY
2022-01-04,479.22,479.98,475.58,477.55,454.247053452927,71178678,0.0000,1.0,SPY
2022-01-05,477.16,477.98,468.2801,468.38,445.524520775378,104538940,0.0000,1.0,SPY
2022-01-06,467.89,470.82,465.43,467.94,445.105991399356,86858900,0.0000,1.0,SPY
2022-01-07,467.95,469.2,464.65,466.09,443.346265613809,85111593,0.0000,1.0,SPY
2022-01-10,462.7,465.74,456.5973,465.51,442.794567799962,119361989,0.0000,1.0,SPY
2022-01-11,465.23,469.85,462.05,469.75,446.82766905981,73332978,0.0000,1.0,SPY
2022-01-12,471.59,473.2,468.94,471.02,448.03569703151,67605444,0.0000,1.0,SPY
2022-01-13,472.19,472.88,463.44,464.53,441.862388735186,91173121,0.0000,1.0,SPY
2022-01-14,461.19,465.09,459.9,464.72,442.043117329377,95890948,0.0000,1.0,SPY
2022-01-18,459.74,459.96,455.31,456.49,434.214715591512,107848237,0.0000,1.0,SPY
2022-01-19,458.13,459.6124,451.46,451.75,429.706012768003,104945382,0.0000,1.0,SPY
2022-01-20,453.75,458.74,444.5,446.75,424.949997131389,122379696,0.0000,1.0,SPY
2022-01-21,445.56,448.06,437.95,437.98,416.60794570477,202271241,0.0000,1.0,SPY
2022-01-24,432.03,440.38,420.76,439.84,418.37718352159,252496719,0.0000,1.0,SPY
2022-01-25,433.06,439.72,427.15,434.47,413.269222727867,167997325,0.0000,1.0,SPY
2022-01-26,440.72,444.04,428.86,433.38,412.232411319086,186391088,0.0000,1.0,SPY
2022-01-27,438.26,441.59,429.45,431.24,410.196836626615,149878307,0.0000,1.0,SPY
2022-01-28,432.68,442.0,427.82,441.95,420.384222120241,164457370,0.0000,1.0,SPY
2022-01-31,441.24,450.28,439.81,449.91,427.955799013729,152251425,0.0000,1.0,SPY
2022-02-01,450.68,453.63,446.9384,452.95,430.84745652079,123155382,0.0000,1.0,SPY
2022-02-02,455.5,458.12,453.05,457.35,435.032750281009,117360953,0.0000,1.0,SPY
2022-02-03,450.95,452.97,445.71,446.6,424.807316662291,118024442,0.0000,1.0,SPY
2022-02-04,446.35,452.78,443.83,448.7,426.804843229669,118454352,0.0000,1.0,SPY
2022-02-07,449.51,450.99,445.85,447.26,425.435110726324,84472859,0.0000,1.0,SPY
2022-02-08,446.73,451.92,445.22,450.94,428.935538234871,81012036,0.0000,1.0,SPY
2022-02-09,455.22,457.88,455.005,457.54,435.213478875201,92589929,0.0000,1.0,SPY
2022-02-10,451.34,457.71,447.2,449.32,427.394589168609,140103712,0.0000,1.0,SPY
2022-02-11,449.41,451.605,438.94,440.46,418.96692946053,153214597,0.0000,1.0,SPY
2022-02-14,439.92,441.6,435.34,439.02,417.597196957185,123006262,0.0000,1.0,SPY
2022-02-15,443.73,446.28,443.18,446.1,424.33171509863,88659503,0.0000,1.0,SPY
2022-02-16,443.93,448.055,441.94,446.6,424.807316662291,84863585,0.0000,1.0,SPY
